Date,Price,Open,High,Low,Change %
2023-10-12,40.5094,40.7233,40.8789,40.5094,-0.47
2023-10-13,39.3328,40.4277,40.4277,39.3328,-2.9
2023-10-14,39.0549,39.3008,39.3008,38.638,-0.71
2023-10-15,40.0374,39.1041,40.0374,39.1041,2.52
2023-10-16,42.8369,40.1248,43.1551,40.1243,6.99
2023-10-17,43.4152,42.9804,43.4856,42.9804,1.35
2023-10-18,41.9381,43.3521,43.3521,41.9238,-3.4
2023-10-19,41.6819,41.9307,42.0863,41.6819,-0.61
2023-10-20,45.8329,41.6334,46.1671,41.5191,9.96
2023-10-21,46.5698,45.8506,46.5698,45.3081,1.61
2023-10-22,49.3538,46.715,49.3538,46.715,5.98
2023-10-23,59.9391,49.5734,59.9391,49.5734,21.45
2023-10-24,58.7397,60.5723,62.5615,58.7397,-2.0
2023-10-25,60.0693,58.7397,60.0693,57.2354,2.26
2023-10-26,59.7521,60.0693,61.6981,59.7521,-0.53
2023-10-27,53.1047,59.5893,59.5893,53.1047,-11.12
2023-10-28,52.704,52.8864,52.8864,51.9841,-0.75
2023-10-29,56.5027,54.1389,57.4439,54.1389,7.21
2023-10-30,57.7154,56.5027,57.97,56.5027,2.15
2023-10-31,57.2008,57.7154,57.7154,57.0141,-0.89
2023-11-01,60.059,57.2008,60.059,57.2008,5.0
2023-11-02,62.3783,60.059,62.3783,60.059,3.86
2023-11-03,62.3783,62.3783,62.3783,62.3783,0.0
2023-11-04,62.3783,62.3783,62.3783,62.3783,0.0
2023-11-05,64.1579,62.3783,64.3072,62.3783,2.85
2023-11-06,61.6682,64.1579,64.1579,61.6682,-3.88
2023-11-07,58.4748,61.6682,61.6682,58.4748,-5.18
2023-11-08,59.1466,58.3219,59.1466,58.3219,1.15
2023-11-09,62.4221,59.5004,62.4221,59.5004,5.54
2023-11-10,62.6304,64.3102,64.3102,62.6304,0.33
2023-11-11,61.7324,61.9198,61.9198,61.4141,-1.43
2023-11-12,61.949,61.7324,61.949,61.6601,0.35
2023-11-13,62.7819,61.949,63.0792,61.949,1.34
2023-11-14,61.9748,62.7819,62.7819,61.6275,-1.29
2023-11-15,62.7212,61.9748,62.7212,59.9606,1.2
2023-11-16,61.8611,62.7212,64.2848,61.8611,-1.37
2023-11-17,59.8121,61.8611,61.8611,59.5327,-3.31
2023-11-18,59.3517,59.8121,61.1487,58.6733,-0.77
2023-11-19,60.2838,59.3517,61.255,58.6773,1.57
2023-11-20,60.9534,60.2838,60.9534,59.5575,1.11
2023-11-21,61.6338,60.9534,61.9725,60.9199,1.12
2023-11-22,60.3864,61.6338,61.6338,59.8302,-2.02
2023-11-23,59.3427,60.3864,60.4476,59.3427,-1.73
2023-11-24,58.5447,59.3427,59.3427,56.8762,-1.34
2023-11-25,57.9014,58.5447,58.5447,57.5035,-1.1
2023-11-26,58.0018,57.9014,58.0018,57.7879,0.17
2023-11-27,57.0745,58.0018,58.1373,57.0745,-1.6
2023-11-28,55.9381,57.0745,57.0745,55.6233,-1.99
2023-11-29,56.2794,55.9381,56.286,55.6393,0.61
2023-11-30,55.6321,56.2794,56.6415,55.6321,-1.15
2023-12-01,56.6932,55.6321,56.6932,55.4975,1.91
2023-12-02,57.641,56.6932,57.641,56.5562,1.67
2023-12-03,60.3003,57.641,60.3003,57.641,4.61
2023-12-04,60.1359,60.3003,60.3003,59.9295,-0.27
2023-12-05,59.9366,60.1359,60.2815,59.3048,-0.33
2023-12-06,61.1265,59.9366,61.6623,59.9366,1.99
2023-12-07,59.6739,61.1265,61.1265,59.5594,-2.38
2023-12-08,59.8522,59.6582,59.8522,59.4523,0.3
2023-12-09,61.111,59.8522,61.126,59.8522,2.1
2023-12-10,61.0035,61.111,61.1358,60.7016,-0.18
2023-12-11,62.6361,61.0035,62.8651,61.0035,2.68
2023-12-12,60.9347,62.6361,62.7089,60.3428,-2.72
2023-12-13,60.4849,60.9289,60.9289,60.4849,-0.74
2023-12-14,58.2776,60.4849,60.4849,58.2776,-3.65
2023-12-15,57.2951,58.2776,58.2776,57.2462,-1.69
2023-12-16,56.5284,57.2951,57.2951,56.5244,-1.34
2023-12-17,57.3956,56.5284,57.3956,56.5284,1.53
2023-12-18,58.4848,57.3956,58.5086,57.3956,1.9
2023-12-19,60.1919,58.4848,60.1919,58.4848,2.92
2023-12-20,60.9689,60.1919,60.9906,60.1919,1.29
2023-12-21,61.0017,60.9689,61.0017,59.8996,0.05
2023-12-22,61.4566,61.0017,61.4672,61.0017,0.75
2023-12-23,61.1543,61.4566,61.465,61.0634,-0.49
2023-12-24,62.183,61.1543,62.183,61.1543,1.68
2023-12-25,62.4835,62.3289,62.5098,61.8029,0.48
2023-12-26,62.8494,62.4835,62.8494,62.0941,0.59
2023-12-27,66.5757,62.8494,66.5757,62.8494,5.93
2023-12-28,67.2962,66.5757,67.2962,66.5757,1.08
2023-12-29,66.7742,67.349,67.349,66.7686,-0.78
2023-12-30,68.2427,66.8067,68.2427,66.6992,2.2
2023-12-31,68.8202,68.2479,68.8425,68.1305,0.85
2024-01-01,68.9014,68.8202,68.9612,68.1451,0.12
2024-01-02,69.0559,68.9014,69.6775,68.9014,0.22
2024-01-03,68.9619,68.9616,68.9619,67.6511,-0.14
2024-01-04,69.3294,68.9619,69.3294,68.4641,0.53
2024-01-05,71.3008,69.3579,71.3284,69.3579,2.84
2024-01-06,74.3872,71.2737,74.3872,71.2737,4.33
2024-01-07,75.7349,74.4959,75.7349,74.4959,1.81
2024-01-08,74.7327,75.7349,75.9108,74.7327,-1.32
2024-01-09,70.3728,74.7327,74.7327,70.3639,-5.83
2024-01-10,70.7546,70.3728,71.468,69.5142,0.54
2024-01-11,65.8095,70.7546,70.7546,65.8095,-6.99
2024-01-12,61.9907,65.4626,65.4626,61.9907,-5.8
2024-01-13,60.9396,62.0409,62.2699,60.9396,-1.7
2024-01-14,61.5788,60.9362,61.5788,60.8044,1.05
2024-01-15,61.4828,61.5788,62.1238,61.4828,-0.16
2024-01-16,59.7141,61.4828,61.4828,59.6113,-2.88
2024-01-17,56.8298,59.7141,59.8177,56.8298,-4.83
2024-01-18,50.6918,56.8298,56.8298,50.6918,-10.8
2024-01-19,49.7343,50.6918,50.6918,49.1603,-1.89
2024-01-20,50.0237,49.7343,50.0237,49.4451,0.58
2024-01-21,49.8457,50.0237,50.1817,49.6141,-0.36
2024-01-22,50.6945,49.8457,50.6945,49.8457,1.7
2024-01-23,54.4745,50.6945,54.7099,50.4106,7.46
2024-01-24,51.6101,54.4745,54.4745,51.6101,-5.26
2024-01-25,49.6427,51.6101,51.6101,49.6427,-3.81
